"시점","행정구역(시군구)별",총인구수 (명)
"2017","충청북도",1594432
"2017","충청남도",2116770
"2017","전라북도",1854607
"2017","전라남도",1896424
"2017","경상북도",2691706
"2017","경상남도",3380404
"2017","제주특별자치도",657083
"2018","서울특별시",9765623
"2018","부산광역시",3441453
"2018","대구광역시",2461769
"2018","인천광역시",2954642
"2018","광주광역시",1459336
"2018","대전광역시",1489936
"2018","울산광역시",1155623
"2018","세종특별자치시",314126
"2018","경기도",13077153
"2018","강원도",1543052
"2018","충청북도",1599252
"2018","충청남도",2126282
"2018","전라북도",1836832
"2018","전라남도",1882970
"2018","경상북도",2676831
"2018","경상남도",3373988
"2018","제주특별자치도",667191
"2019","서울특별시",9729107
"2019","부산광역시",3413841
"2019","대구광역시",2438031
"2019","인천광역시",2957026
"2019","광주광역시",1456468
"2019","대전광역시",1474870
"2019","울산광역시",1148019
"2019","세종특별자치시",340575
"2019","경기도",13239666
"2019","강원도",1541502
"2019","충청북도",1600007
"2019","충청남도",2123709
"2019","전라북도",1818917
"2019","전라남도",1868745
"2019","경상북도",2665836
"2019","경상남도",3362553
"2019","제주특별자치도",670989
"2020","서울특별시",9668465
"2020","부산광역시",3391946
"2020","대구광역시",2418346
"2020","인천광역시",2942828
"2020","광주광역시",1450062
"2020","대전광역시",1463882
"2020","울산광역시",1136017
"2020","세종특별자치시",355831
"2020","경기도",13427014
"2020","강원도",1542840
"2020","충청북도",1600837
"2020","충청남도",2121029
"2020","전라북도",1804104
"2020","전라남도",1851549
"2020","경상북도",2639422
"2020","경상남도",3340216
"2020","제주특별자치도",674635
"2021","서울특별시",9509458
"2021","부산광역시",3350380
"2021","대구광역시",2385412
"2021","인천광역시",2948375
"2021","광주광역시",1441611
"2021","대전광역시",1452251
"2021","울산광역시",1121592
"2021","세종특별자치시",371895
"2021","경기도",13565450
"2021","강원도",1538492
"2021","충청북도",1597427
"2021","충청남도",2119257
"2021","전라북도",1786855
"2021","전라남도",1832803
"2021","경상북도",2626609
"2021","경상남도",3314183
"2021","제주특별자치도",676759
