,신선도,신선도예측,신선도 정답 여부,종류,종류예측,종류 정답 여부,파일명
42,fresh,fresh,True,grape,grape,True,/Users/jongya/Desktop/data/data/archive/fresh_grape/google_0584.jpg
43,fresh,fresh,True,orange,orange,True,/Users/jongya/Desktop/data/data/archive/fresh_orange/naver_0135.jpg
44,fresh,fresh,True,apple,grape,False,/Users/jongya/Desktop/data/data/archive/fresh_apple/naver_0041.jpg
45,fresh,fresh,True,capsicum,pepper,False,/Users/jongya/Desktop/data/data/archive/fresh_capsicum/naver_0272.jpg
46,fresh,fresh,True,grape,pepper,False,/Users/jongya/Desktop/data/data/archive/fresh_grape/google_0164.jpg
47,stale,fresh,False,grape,grape,True,/Users/jongya/Desktop/data/data/archive/stale_grape/google_0365.jpg
48,stale,fresh,False,apple,pepper,False,/Users/jongya/Desktop/data/data/archive/stale_apple/Screen Shot 2018-06-07 at 2.54.49 PM.png
49,fresh,fresh,True,apple,apple,True,/Users/jongya/Desktop/data/data/archive/fresh_apple/Screen Shot 2018-06-08 at 5.19.47 PM.png
50,stale,fresh,False,apple,banana,False,/Users/jongya/Desktop/data/data/archive/stale_apple/Screen Shot 2018-06-07 at 3.02.37 PM.png
51,fresh,fresh,True,strawberry,strawberry,True,/Users/jongya/Desktop/data/data/archive/fresh_strawberry/naver_0050.jpg
52,fresh,fresh,True,banana,orange,False,/Users/jongya/Desktop/data/data/archive/fresh_banana/Screen Shot 2018-06-12 at 9.59.35 PM.png
53,fresh,fresh,True,grape,grape,True,/Users/jongya/Desktop/data/data/archive/fresh_grape/google_0264.jpg
54,fresh,fresh,True,orange,orange,True,/Users/jongya/Desktop/data/data/archive/fresh_orange/Screen Shot 2018-06-12 at 11.56.35 PM.png
55,fresh,fresh,True,strawberry,pepper,False,/Users/jongya/Desktop/data/data/archive/fresh_strawberry/naver_0049.jpg
56,fresh,fresh,True,grape,grape,True,/Users/jongya/Desktop/data/data/archive/fresh_grape/naver_0310.jpg
57,stale,fresh,False,grape,grape,True,/Users/jongya/Desktop/data/data/archive/stale_grape/google_0068.jpg
58,fresh,fresh,True,apple,orange,False,/Users/jongya/Desktop/data/data/archive/fresh_apple/Screen Shot 2018-06-08 at 5.23.23 PM.png
59,fresh,fresh,True,orange,orange,True,/Users/jongya/Desktop/data/data/archive/fresh_orange/Screen Shot 2018-06-13 at 12.01.03 AM.png
60,fresh,fresh,True,grape,grape,True,/Users/jongya/Desktop/data/data/archive/fresh_grape/google_0109.jpg
61,stale,fresh,False,strawberry,banana,False,/Users/jongya/Desktop/data/data/archive/stale_strawberry/google_0068.jpg
62,fresh,fresh,True,mandarin,orange,False,/Users/jongya/Desktop/data/data/archive/fresh_mandarin/naver_0008.jpg
63,fresh,fresh,True,banana,banana,True,/Users/jongya/Desktop/data/data/archive/fresh_banana/naver_0075.jpg
64,fresh,fresh,True,pepper,pepper,True,/Users/jongya/Desktop/data/data/archive/fresh_pepper/google_0103.jpg
65,stale,fresh,False,grape,grape,True,/Users/jongya/Desktop/data/data/archive/stale_grape/google_0036.jpg
66,fresh,fresh,True,banana,orange,False,/Users/jongya/Desktop/data/data/archive/fresh_banana/Screen Shot 2018-06-12 at 9.56.33 PM.png
67,stale,fresh,False,pepper,pepper,True,/Users/jongya/Desktop/data/data/archive/stale_pepper/556425_20210729_5_1_a7_1_2_13_1_84.jpg
68,stale,fresh,False,strawberry,strawberry,True,/Users/jongya/Desktop/data/data/archive/stale_strawberry/google_0421.jpg
69,stale,fresh,False,orange,orange,True,/Users/jongya/Desktop/data/data/archive/stale_orange/Screen Shot 2018-06-12 at 11.44.34 PM.png
70,fresh,fresh,True,grape,grape,True,/Users/jongya/Desktop/data/data/archive/fresh_grape/google_0276.jpg
71,fresh,fresh,True,grape,capsicum,False,/Users/jongya/Desktop/data/data/archive/fresh_grape/naver_0096.jpg
72,stale,fresh,False,grape,banana,False,/Users/jongya/Desktop/data/data/archive/stale_grape/google_0009.jpg
73,stale,fresh,False,grape,grape,True,/Users/jongya/Desktop/data/data/archive/stale_grape/google_0347.jpg
74,stale,fresh,False,pepper,capsicum,False,/Users/jongya/Desktop/data/data/archive/stale_pepper/503787_20210802_5_2_b3_1_2_13_1_58.jpg
75,fresh,fresh,True,strawberry,cherryTomato,False,/Users/jongya/Desktop/data/data/archive/fresh_strawberry/naver_0289.jpg
76,fresh,fresh,True,grape,grape,True,/Users/jongya/Desktop/data/data/archive/fresh_grape/google_0193.jpg
77,fresh,fresh,True,pepper,pepper,True,/Users/jongya/Desktop/data/data/archive/fresh_pepper/naver_0111.jpg
78,stale,fresh,False,apple,banana,False,/Users/jongya/Desktop/data/data/archive/stale_apple/Screen Shot 2018-06-08 at 2.41.44 PM.png
79,fresh,fresh,True,grape,capsicum,False,/Users/jongya/Desktop/data/data/archive/fresh_grape/google_0472.jpg
80,fresh,fresh,True,mandarin,mandarin,True,/Users/jongya/Desktop/data/data/archive/fresh_mandarin/naver_0033.jpg
81,stale,fresh,False,banana,banana,True,/Users/jongya/Desktop/data/data/archive/stale_banana/Screen Shot 2018-06-12 at 9.27.15 PM.png
82,stale,fresh,False,mandarin,strawberry,False,/Users/jongya/Desktop/data/data/archive/stale_mandarin/esy-056956756.jpg
83,fresh,fresh,True,cherryTomato,pepper,False,/Users/jongya/Desktop/data/data/archive/fresh_cherryTomato/naver_0349.jpg
84,stale,fresh,False,grape,grape,True,/Users/jongya/Desktop/data/data/archive/stale_grape/google_0291.jpg
85,fresh,fresh,True,cherryTomato,strawberry,False,/Users/jongya/Desktop/data/data/archive/fresh_cherryTomato/naver_0229.jpg
86,stale,fresh,False,capsicum,pepper,False,/Users/jongya/Desktop/data/data/archive/stale_capsicum/IMG_20220601_094205.jpg
87,fresh,fresh,True,orange,orange,True,/Users/jongya/Desktop/data/data/archive/fresh_orange/Screen Shot 2018-06-12 at 11.52.21 PM.png
88,fresh,fresh,True,grape,pepper,False,/Users/jongya/Desktop/data/data/archive/fresh_grape/google_0065.jpg
89,fresh,fresh,True,mandarin,mandarin,True,/Users/jongya/Desktop/data/data/archive/fresh_mandarin/naver_0113.jpg
90,fresh,fresh,True,mandarin,strawberry,False,/Users/jongya/Desktop/data/data/archive/fresh_mandarin/naver_0141.jpg
91,stale,fresh,False,pepper,capsicum,False,/Users/jongya/Desktop/data/data/archive/stale_pepper/503570_20210730_5_2_b3_1_2_13_1_15.jpg
92,fresh,fresh,True,mandarin,banana,False,/Users/jongya/Desktop/data/data/archive/fresh_mandarin/naver_0156.jpg
93,fresh,fresh,True,pepper,capsicum,False,/Users/jongya/Desktop/data/data/archive/fresh_pepper/google_0227.jpg
94,fresh,fresh,True,pepper,capsicum,False,/Users/jongya/Desktop/data/data/archive/fresh_pepper/490221_20211001_5_0_0_1_2_12_0_6.jpg
95,fresh,fresh,True,mandarin,mandarin,True,/Users/jongya/Desktop/data/data/archive/fresh_mandarin/naver_0044.jpg
96,fresh,fresh,True,strawberry,grape,False,/Users/jongya/Desktop/data/data/archive/fresh_strawberry/naver_0121.jpg
97,stale,fresh,False,banana,pepper,False,/Users/jongya/Desktop/data/data/archive/stale_banana/Screen Shot 2018-06-12 at 9.14.48 PM.png
98,fresh,fresh,True,mandarin,cherryTomato,False,/Users/jongya/Desktop/data/data/archive/fresh_mandarin/naver_0055.jpg
99,stale,fresh,False,pepper,grape,False,/Users/jongya/Desktop/data/data/archive/stale_pepper/504105_20210802_5_2_b3_1_2_13_1_223.jpg
100,fresh,fresh,True,pepper,grape,False,/Users/jongya/Desktop/data/data/archive/fresh_pepper/naver_0112.jpg
101,stale,fresh,False,banana,grape,False,/Users/jongya/Desktop/data/data/archive/stale_banana/Screen Shot 2018-06-12 at 8.58.53 PM.png
102,fresh,fresh,True,mandarin,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_mandarin/naver_0149.jpg
103,fresh,fresh,True,banana,orange,False,/Users/jongya/Desktop/data/data/archive/fresh_banana/Screen Shot 2018-06-12 at 9.46.48 PM.png
104,fresh,fresh,True,grape,grape,True,/Users/jongya/Desktop/data/data/archive/fresh_grape/google_0138.jpg
105,fresh,fresh,True,banana,orange,False,/Users/jongya/Desktop/data/data/archive/fresh_banana/Screen Shot 2018-06-12 at 10.00.54 PM.png
106,fresh,fresh,True,capsicum,capsicum,True,/Users/jongya/Desktop/data/data/archive/fresh_capsicum/IMG_20220531_092248.jpg
107,fresh,fresh,True,strawberry,strawberry,True,/Users/jongya/Desktop/data/data/archive/fresh_strawberry/naver_0234.jpg
108,stale,fresh,False,orange,cherryTomato,False,/Users/jongya/Desktop/data/data/archive/stale_orange/Screen Shot 2018-06-12 at 11.26.28 PM.png
109,stale,fresh,False,grape,grape,True,/Users/jongya/Desktop/data/data/archive/stale_grape/google_0135.jpg
110,fresh,fresh,True,apple,apple,True,/Users/jongya/Desktop/data/data/archive/fresh_apple/Screen Shot 2018-06-08 at 5.26.05 PM.png
111,stale,fresh,False,apple,banana,False,/Users/jongya/Desktop/data/data/archive/stale_apple/Screen Shot 2018-06-07 at 2.20.56 PM.png
112,fresh,fresh,True,cherryTomato,strawberry,False,/Users/jongya/Desktop/data/data/archive/fresh_cherryTomato/naver_0239.jpg
113,fresh,fresh,True,capsicum,capsicum,True,/Users/jongya/Desktop/data/data/archive/fresh_capsicum/0939.jpg
114,fresh,fresh,True,pepper,pepper,True,/Users/jongya/Desktop/data/data/archive/fresh_pepper/naver_0017.jpg
115,fresh,fresh,True,grape,grape,True,/Users/jongya/Desktop/data/data/archive/fresh_grape/google_0303.jpg
116,fresh,fresh,True,orange,orange,True,/Users/jongya/Desktop/data/data/archive/fresh_orange/Screen Shot 2018-06-13 at 12.06.01 AM.png
117,stale,fresh,False,orange,banana,False,/Users/jongya/Desktop/data/data/archive/stale_orange/Screen Shot 2018-06-12 at 11.29.14 PM.png
118,fresh,fresh,True,grape,pepper,False,/Users/jongya/Desktop/data/data/archive/fresh_grape/google_0071.jpg
119,stale,fresh,False,cherryTomato,mandarin,False,/Users/jongya/Desktop/data/data/archive/stale_cherryTomato/naver_0104.jpg
120,fresh,fresh,True,banana,orange,False,/Users/jongya/Desktop/data/data/archive/fresh_banana/Screen Shot 2018-06-12 at 9.39.08 PM.png
121,stale,fresh,False,pepper,grape,False,/Users/jongya/Desktop/data/data/archive/stale_pepper/504968_20210809_5_2_b3_1_2_13_1_20210809_5_2_b3_1_2_13_1_192.jpg
122,fresh,fresh,True,capsicum,capsicum,True,/Users/jongya/Desktop/data/data/archive/fresh_capsicum/capsicum3_4.jpg_0_113.jpg
123,stale,fresh,False,banana,mandarin,False,/Users/jongya/Desktop/data/data/archive/stale_banana/naver_0077.jpg
124,fresh,fresh,True,pepper,capsicum,False,/Users/jongya/Desktop/data/data/archive/fresh_pepper/490215_20211001_5_0_0_1_2_12_0_0.jpg
125,fresh,fresh,True,pepper,pepper,True,/Users/jongya/Desktop/data/data/archive/fresh_pepper/naver_0124.jpg
126,fresh,fresh,True,cherryTomato,strawberry,False,/Users/jongya/Desktop/data/data/archive/fresh_cherryTomato/naver_0026.jpg
127,fresh,fresh,True,apple,orange,False,/Users/jongya/Desktop/data/data/archive/fresh_apple/Screen Shot 2018-06-08 at 5.21.22 PM.png
128,fresh,fresh,True,mandarin,mandarin,True,/Users/jongya/Desktop/data/data/archive/fresh_mandarin/naver_0255.png
129,stale,fresh,False,capsicum,capsicum,True,/Users/jongya/Desktop/data/data/archive/stale_capsicum/WhatsApp Image 2020-11-07 at 11.30.47 PM.jpeg_0_317.jpg
130,fresh,fresh,True,strawberry,pepper,False,/Users/jongya/Desktop/data/data/archive/fresh_strawberry/naver_0009.jpg
131,fresh,fresh,True,mandarin,orange,False,/Users/jongya/Desktop/data/data/archive/fresh_mandarin/naver_0287.jpg
132,stale,fresh,False,pepper,pepper,True,/Users/jongya/Desktop/data/data/archive/stale_pepper/557441_20210810_5_1_a7_1_2_13_1_22.jpg
133,fresh,fresh,True,orange,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_orange/Screen Shot 2018-06-13 at 12.06.28 AM.png
134,stale,fresh,False,orange,orange,True,/Users/jongya/Desktop/data/data/archive/stale_orange/Screen Shot 2018-06-12 at 11.46.26 PM.png
135,fresh,fresh,True,strawberry,grape,False,/Users/jongya/Desktop/data/data/archive/fresh_strawberry/naver_0245.jpg
136,fresh,fresh,True,banana,orange,False,/Users/jongya/Desktop/data/data/archive/fresh_banana/Screen Shot 2018-06-12 at 9.40.43 PM.png
137,stale,fresh,False,grape,grape,True,/Users/jongya/Desktop/data/data/archive/stale_grape/google_0035.jpg
138,fresh,fresh,True,grape,grape,True,/Users/jongya/Desktop/data/data/archive/fresh_grape/google_0485.jpg
139,stale,fresh,False,orange,apple,False,/Users/jongya/Desktop/data/data/archive/stale_orange/Screen Shot 2018-06-12 at 11.23.09 PM.png
140,fresh,fresh,True,pepper,strawberry,False,/Users/jongya/Desktop/data/data/archive/fresh_pepper/naver_0206.jpg
141,fresh,fresh,True,grape,grape,True,/Users/jongya/Desktop/data/data/archive/fresh_grape/naver_0370.jpg
142,fresh,fresh,True,grape,capsicum,False,/Users/jongya/Desktop/data/data/archive/fresh_grape/google_0253.jpg
143,fresh,fresh,True,pepper,capsicum,False,/Users/jongya/Desktop/data/data/archive/fresh_pepper/naver_0320.jpg
144,fresh,fresh,True,pepper,capsicum,False,/Users/jongya/Desktop/data/data/archive/fresh_pepper/naver_0255.jpg
145,fresh,fresh,True,pepper,pepper,True,/Users/jongya/Desktop/data/data/archive/fresh_pepper/naver_0302.jpg
146,fresh,fresh,True,pepper,pepper,True,/Users/jongya/Desktop/data/data/archive/fresh_pepper/naver_0174.jpg
147,fresh,fresh,True,banana,banana,True,/Users/jongya/Desktop/data/data/archive/fresh_banana/naver_0018.jpg
148,fresh,fresh,True,strawberry,strawberry,True,/Users/jongya/Desktop/data/data/archive/fresh_strawberry/google_0170.jpg
149,stale,fresh,False,orange,orange,True,/Users/jongya/Desktop/data/data/archive/stale_orange/Screen Shot 2018-06-12 at 11.37.58 PM.png
150,stale,fresh,False,strawberry,strawberry,True,/Users/jongya/Desktop/data/data/archive/stale_strawberry/google_0003.jpg
151,fresh,fresh,True,grape,grape,True,/Users/jongya/Desktop/data/data/archive/fresh_grape/naver_0049.jpg
152,fresh,fresh,True,cherryTomato,pepper,False,/Users/jongya/Desktop/data/data/archive/fresh_cherryTomato/naver_0087.jpg
153,fresh,fresh,True,cherryTomato,strawberry,False,/Users/jongya/Desktop/data/data/archive/fresh_cherryTomato/naver_0187.jpg
154,stale,fresh,False,apple,apple,True,/Users/jongya/Desktop/data/data/archive/stale_apple/Screen Shot 2018-06-08 at 2.42.30 PM.png
155,fresh,fresh,True,strawberry,pepper,False,/Users/jongya/Desktop/data/data/archive/fresh_strawberry/naver_0390.jpg
156,stale,fresh,False,broccoli,pepper,False,/Users/jongya/Desktop/data/data/archive/stale_broccoli/google_0080.jpg
157,fresh,fresh,True,strawberry,capsicum,False,/Users/jongya/Desktop/data/data/archive/fresh_strawberry/naver_0062.jpg
158,fresh,fresh,True,grape,capsicum,False,/Users/jongya/Desktop/data/data/archive/fresh_grape/google_0196.jpg
159,stale,fresh,False,pepper,pepper,True,/Users/jongya/Desktop/data/data/archive/stale_pepper/504210_20210802_5_2_b3_1_2_13_1_328.jpg
160,fresh,fresh,True,grape,pepper,False,/Users/jongya/Desktop/data/data/archive/fresh_grape/google_0198.jpg
161,fresh,fresh,True,pepper,pepper,True,/Users/jongya/Desktop/data/data/archive/fresh_pepper/google_0141.jpg
162,fresh,fresh,True,pepper,capsicum,False,/Users/jongya/Desktop/data/data/archive/fresh_pepper/naver_0037.jpg
163,stale,fresh,False,mandarin,orange,False,/Users/jongya/Desktop/data/data/archive/stale_mandarin/Fungal-spot-on-epicarp-of-mandarin-orange_Q320.jpg
164,fresh,fresh,True,pepper,pepper,True,/Users/jongya/Desktop/data/data/archive/fresh_pepper/naver_0001.jpg
165,stale,fresh,False,orange,orange,True,/Users/jongya/Desktop/data/data/archive/stale_orange/naver_0114.jpg
166,stale,fresh,False,orange,orange,True,/Users/jongya/Desktop/data/data/archive/stale_orange/Screen Shot 2018-06-12 at 11.34.07 PM(1).png
167,fresh,fresh,True,strawberry,mandarin,False,/Users/jongya/Desktop/data/data/archive/fresh_strawberry/naver_0259.jpg
168,fresh,fresh,True,cherryTomato,strawberry,False,/Users/jongya/Desktop/data/data/archive/fresh_cherryTomato/naver_0057.png
169,fresh,fresh,True,orange,mandarin,False,/Users/jongya/Desktop/data/data/archive/fresh_orange/naver_0008.jpg
170,fresh,fresh,True,apple,apple,True,/Users/jongya/Desktop/data/data/archive/fresh_apple/Screen Shot 2018-06-08 at 4.59.36 PM.png
171,fresh,fresh,True,apple,apple,True,/Users/jongya/Desktop/data/data/archive/fresh_apple/naver_0072.jpg
172,stale,fresh,False,strawberry,apple,False,/Users/jongya/Desktop/data/data/archive/stale_strawberry/google_0035.jpg
173,fresh,fresh,True,cherryTomato,strawberry,False,/Users/jongya/Desktop/data/data/archive/fresh_cherryTomato/naver_0185.jpg
174,fresh,fresh,True,strawberry,pepper,False,/Users/jongya/Desktop/data/data/archive/fresh_strawberry/google_0405.jpg
175,stale,fresh,False,capsicum,capsicum,True,/Users/jongya/Desktop/data/data/archive/stale_capsicum/IMG_20220601_094005.jpg
176,fresh,fresh,True,broccoli,pepper,False,/Users/jongya/Desktop/data/data/archive/fresh_broccoli/google_0112.jpg
177,fresh,fresh,True,pepper,capsicum,False,/Users/jongya/Desktop/data/data/archive/fresh_pepper/naver_0012.jpg
178,fresh,fresh,True,pepper,pepper,True,/Users/jongya/Desktop/data/data/archive/fresh_pepper/naver_0354.jpg
179,stale,fresh,False,pepper,capsicum,False,/Users/jongya/Desktop/data/data/archive/stale_pepper/naver_0146.jpg
180,fresh,fresh,True,apple,banana,False,/Users/jongya/Desktop/data/data/archive/fresh_apple/Screen Shot 2018-06-08 at 5.01.15 PM.png
181,stale,fresh,False,apple,orange,False,/Users/jongya/Desktop/data/data/archive/stale_apple/Screen Shot 2018-06-08 at 2.46.25 PM.png
182,fresh,fresh,True,pepper,pepper,True,/Users/jongya/Desktop/data/data/archive/fresh_pepper/naver_0013.png
183,fresh,fresh,True,banana,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_banana/Screen Shot 2018-06-12 at 10.06.19 PM.png
184,stale,fresh,False,mandarin,mandarin,True,/Users/jongya/Desktop/data/data/archive/stale_mandarin/depositphotos_239895188-stock-photo-two-rotten-oranges-one-dry.jpg
185,fresh,fresh,True,banana,banana,True,/Users/jongya/Desktop/data/data/archive/fresh_banana/Screen Shot 2018-06-12 at 9.51.24 PM.png
186,fresh,fresh,True,grape,grape,True,/Users/jongya/Desktop/data/data/archive/fresh_grape/google_0040.jpg
187,stale,fresh,False,orange,banana,False,/Users/jongya/Desktop/data/data/archive/stale_orange/Screen Shot 2018-06-12 at 11.40.18 PM.png
188,stale,fresh,False,pepper,pepper,True,/Users/jongya/Desktop/data/data/archive/stale_pepper/556887_20210802_5_1_a7_1_2_13_1_5.jpg
189,stale,fresh,False,banana,banana,True,/Users/jongya/Desktop/data/data/archive/stale_banana/Screen Shot 2018-06-12 at 9.27.52 PM.png
190,stale,fresh,False,orange,orange,True,/Users/jongya/Desktop/data/data/archive/stale_orange/Screen Shot 2018-06-12 at 11.34.07 PM.png
191,fresh,fresh,True,orange,orange,True,/Users/jongya/Desktop/data/data/archive/fresh_orange/Screen Shot 2018-06-12 at 11.59.33 PM.png
192,stale,fresh,False,capsicum,capsicum,True,/Users/jongya/Desktop/data/data/archive/stale_capsicum/IMG_20220601_094118.jpg
193,fresh,fresh,True,orange,banana,False,/Users/jongya/Desktop/data/data/archive/fresh_orange/Screen Shot 2018-06-13 at 12.19.36 AM.png
194,stale,fresh,False,banana,grape,False,/Users/jongya/Desktop/data/data/archive/stale_banana/Screen Shot 2018-06-12 at 9.13.39 PM.png
195,fresh,fresh,True,pepper,capsicum,False,/Users/jongya/Desktop/data/data/archive/fresh_pepper/naver_0245.jpg
196,stale,fresh,False,capsicum,capsicum,True,/Users/jongya/Desktop/data/data/archive/stale_capsicum/IMG_20220607_091218.jpg
197,fresh,fresh,True,grape,grape,True,/Users/jongya/Desktop/data/data/archive/fresh_grape/naver_0311.jpg
198,stale,fresh,False,cherryTomato,pepper,False,/Users/jongya/Desktop/data/data/archive/stale_cherryTomato/7f16d91d4bac7c7855fd9db253c7e825.jpg
199,stale,fresh,False,banana,banana,True,/Users/jongya/Desktop/data/data/archive/stale_banana/Screen Shot 2018-06-12 at 9.17.38 PM.png
200,fresh,fresh,True,strawberry,strawberry,True,/Users/jongya/Desktop/data/data/archive/fresh_strawberry/google_0552.jpg
201,stale,fresh,False,pepper,banana,False,/Users/jongya/Desktop/data/data/archive/stale_pepper/google_0062.jpg
202,fresh,fresh,True,mandarin,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_mandarin/google_0114.jpg
203,fresh,fresh,True,mandarin,banana,False,/Users/jongya/Desktop/data/data/archive/fresh_mandarin/naver_0101.jpg
204,fresh,fresh,True,strawberry,strawberry,True,/Users/jongya/Desktop/data/data/archive/fresh_strawberry/naver_0048.jpg
205,fresh,fresh,True,mandarin,grape,False,/Users/jongya/Desktop/data/data/archive/fresh_mandarin/naver_0142.jpg
206,fresh,fresh,True,broccoli,pepper,False,/Users/jongya/Desktop/data/data/archive/fresh_broccoli/google_0213.jpg
207,stale,fresh,False,banana,grape,False,/Users/jongya/Desktop/data/data/archive/stale_banana/Screen Shot 2018-06-12 at 9.05.02 PM.png
208,fresh,fresh,True,banana,orange,False,/Users/jongya/Desktop/data/data/archive/fresh_banana/Screen Shot 2018-06-12 at 9.59.02 PM.png
209,fresh,fresh,True,grape,grape,True,/Users/jongya/Desktop/data/data/archive/fresh_grape/google_0236.jpg
210,fresh,fresh,True,mandarin,orange,False,/Users/jongya/Desktop/data/data/archive/fresh_mandarin/naver_0226.jpg
211,fresh,fresh,True,broccoli,grape,False,/Users/jongya/Desktop/data/data/archive/fresh_broccoli/google_0023.jpg
212,stale,fresh,False,mandarin,mandarin,True,/Users/jongya/Desktop/data/data/archive/stale_mandarin/depositphotos_232035064-stock-photo-group-mouldy-rotten-mandarins-isolated.jpg
