"행정구역","2022년08월_총인구수","2022년08월_세대수","2022년08월_세대당 인구","2022년08월_남자 인구수","2022년08월_여자 인구수","2022년08월_남여 비율"
"서울특별시 성동구 성수2가제3동(1120069000)","10,646","5,574","          1.91","5,323","5,323","          1.00"
"서울특별시 성동구 송정동(1120072000)","10,257","5,533","          1.85","5,420","4,837","          1.12"
"서울특별시 성동구 용답동(1120079000)","11,626","7,252","          1.60","6,029","5,597","          1.08"
"서울특별시 광진구 (1121500000)","339,567","170,014","          2.00","163,692","175,875","          0.93"
"서울특별시 광진구 화양동(1121571000)","23,754","18,433","          1.29","11,277","12,477","          0.90"
"서울특별시 광진구 군자동(1121573000)","19,560","11,461","          1.71","9,693","9,867","          0.98"
"서울특별시 광진구 중곡제1동(1121574000)","15,282","8,354","          1.83","7,368","7,914","          0.93"
"서울특별시 광진구 중곡제2동(1121575000)","21,105","10,658","          1.98","9,942","11,163","          0.89"
"서울특별시 광진구 중곡제3동(1121576000)","16,045","8,562","          1.87","7,939","8,106","          0.98"
"서울특별시 광진구 중곡제4동(1121577000)","28,190","13,155","          2.14","13,794","14,396","          0.96"
"서울특별시 광진구 능동(1121578000)","11,285","6,481","          1.74","5,197","6,088","          0.85"
"서울특별시 광진구 광장동(1121581000)","34,370","11,877","          2.89","16,628","17,742","          0.94"
"서울특별시 광진구 자양제1동(1121582000)","22,089","11,999","          1.84","10,739","11,350","          0.95"
"서울특별시 광진구 자양제2동(1121583000)","24,129","10,946","          2.20","11,706","12,423","          0.94"
"서울특별시 광진구 자양제3동(1121584000)","27,755","11,085","          2.50","13,267","14,488","          0.92"
"서울특별시 광진구 자양제4동(1121584700)","17,999","10,195","          1.77","8,979","9,020","          1.00"
"서울특별시 광진구 구의제1동(1121585000)","23,402","13,101","          1.79","11,148","12,254","          0.91"
"서울특별시 광진구 구의제2동(1121586000)","26,194","11,549","          2.27","12,594","13,600","          0.93"
"서울특별시 광진구 구의제3동(1121587000)","28,408","12,158","          2.34","13,421","14,987","          0.90"
"서울특별시 동대문구 (1123000000)","337,233","170,413","          1.98","166,170","171,063","          0.97"
"서울특별시 동대문구 용신동(1123053600)","32,778","19,641","          1.67","16,367","16,411","          1.00"
"서울특별시 동대문구 제기동(1123054500)","24,410","13,520","          1.81","12,489","11,921","          1.05"
"서울특별시 동대문구 전농제1동(1123056000)","28,865","14,856","          1.94","14,424","14,441","          1.00"
"서울특별시 동대문구 전농제2동(1123057000)","18,287","7,580","          2.41","8,761","9,526","          0.92"
"서울특별시 동대문구 답십리제1동(1123060000)","28,747","13,127","          2.19","13,829","14,918","          0.93"
"서울특별시 동대문구 답십리제2동(1123061000)","27,971","12,585","          2.22","13,545","14,426","          0.94"
"서울특별시 동대문구 장안제1동(1123065000)","38,130","18,507","          2.06","18,862","19,268","          0.98"
"서울특별시 동대문구 장안제2동(1123066000)","32,527","14,197","          2.29","16,147","16,380","          0.99"
"서울특별시 동대문구 청량리동(1123070500)","18,674","9,732","          1.92","9,317","9,357","          1.00"
"서울특별시 동대문구 회기동(1123071000)","10,675","6,825","          1.56","5,124","5,551","          0.92"
"서울특별시 동대문구 휘경제1동(1123072000)","14,082","7,873","          1.79","6,667","7,415","          0.90"
"서울특별시 동대문구 휘경제2동(1123073000)","24,026","12,308","          1.95","11,998","12,028","          1.00"
"서울특별시 동대문구 이문제1동(1123074000)","18,257","10,888","          1.68","9,090","9,167","          0.99"
"서울특별시 동대문구 이문제2동(1123075000)","19,804","8,774","          2.26","9,550","10,254","          0.93"
"서울특별시 중랑구 (1126000000)","387,840","188,283","          2.06","190,931","196,909","          0.97"
"서울특별시 중랑구 면목제2동(1126052000)","24,100","12,319","          1.96","12,001","12,099","          0.99"
"서울특별시 중랑구 면목제4동(1126054000)","18,708","9,066","          2.06","9,315","9,393","          0.99"
"서울특별시 중랑구 면목제5동(1126055000)","14,763","6,482","          2.28","7,416","7,347","          1.01"
"서울특별시 중랑구 면목본동(1126056500)","33,346","17,799","          1.87","16,472","16,874","          0.98"
"서울특별시 중랑구 면목제7동(1126057000)","21,504","10,530","          2.04","10,776","10,728","          1.00"
"서울특별시 중랑구 면목제3.8동(1126057500)","24,456","12,682","          1.93","12,143","12,313","          0.99"
"서울특별시 중랑구 상봉제1동(1126058000)","23,713","10,232","          2.32","11,522","12,191","          0.95"
"서울특별시 중랑구 상봉제2동(1126059000)","20,180","12,273","          1.64","9,708","10,472","          0.93"
"서울특별시 중랑구 중화제1동(1126060000)","19,324","9,059","          2.13","9,511","9,813","          0.97"
"서울특별시 중랑구 중화제2동(1126061000)","24,720","13,699","          1.80","12,671","12,049","          1.05"
"서울특별시 중랑구 묵제1동(1126062000)","34,387","15,101","          2.28","16,489","17,898","          0.92"
"서울특별시 중랑구 묵제2동(1126063000)","18,495","9,272","          1.99","9,073","9,422","          0.96"
"서울특별시 중랑구 망우본동(1126065500)","35,649","17,656","          2.02","17,635","18,014","          0.98"
"서울특별시 중랑구 망우제3동(1126066000)","16,096","8,265","          1.95","8,123","7,973","          1.02"
"서울특별시 중랑구 신내1동(1126068000)","38,266","14,840","          2.58","18,487","19,779","          0.93"
"서울특별시 중랑구 신내2동(1126069000)","20,133","9,008","          2.24","9,589","10,544","          0.91"
"서울특별시 성북구 (1129000000)","433,386","198,452","          2.18","208,575","224,811","          0.93"
"서울특별시 성북구 성북동(1129052500)","16,442","8,272","          1.99","7,659","8,783","          0.87"
"서울특별시 성북구 삼선동(1129055500)","22,710","11,638","          1.95","10,783","11,927","          0.90"
"서울특별시 성북구 동선동(1129057500)","15,510","9,825","          1.58","6,462","9,048","          0.71"
"서울특별시 성북구 돈암제1동(1129058000)","14,450","6,078","          2.38","6,751","7,699","          0.88"
"서울특별시 성북구 돈암제2동(1129059000)","23,639","8,559","          2.76","11,178","12,461","          0.90"
"서울특별시 성북구 안암동(1129060000)","15,163","9,812","          1.55","7,651","7,512","          1.02"
"서울특별시 성북구 보문동(1129061000)","16,458","8,173","          2.01","7,916","8,542","          0.93"
"서울특별시 성북구 정릉제1동(1129062000)","18,010","7,376","          2.44","8,618","9,392","          0.92"
"서울특별시 성북구 정릉제2동(1129063000)","22,814","9,917","          2.30","11,061","11,753","          0.94"
"서울특별시 성북구 정릉제3동(1129064000)","15,322","8,247","          1.86","7,641","7,681","          0.99"
"서울특별시 성북구 정릉제4동(1129065000)","24,532","10,827","          2.27","11,771","12,761","          0.92"
"서울특별시 성북구 길음제1동(1129066000)","34,952","12,489","          2.80","16,563","18,389","          0.90"
"서울특별시 성북구 길음제2동(1129068500)","21,555","8,624","          2.50","10,360","11,195","          0.93"
"서울특별시 성북구 종암동(1129070500)","38,454","17,270","          2.23","19,032","19,422","          0.98"
"서울특별시 성북구 월곡제1동(1129071500)","26,090","10,898","          2.39","12,586","13,504","          0.93"
"서울특별시 성북구 월곡제2동(1129072500)","19,292","9,689","          1.99","9,279","10,013","          0.93"
"서울특별시 성북구 장위제1동(1129076000)","23,991","10,721","          2.24","11,749","12,242","          0.96"
"서울특별시 성북구 장위제2동(1129077000)","13,633","6,732","          2.03","6,689","6,944","          0.96"
"서울특별시 성북구 장위제3동(1129078000)","15,611","6,388","          2.44","7,635","7,976","          0.96"
"서울특별시 성북구 석관동(1129081000)","34,758","16,917","          2.05","17,191","17,567","          0.98"
"서울특별시 강북구 (1130500000)","296,073","145,204","          2.04","143,861","152,212","          0.95"
"서울특별시 강북구 삼양동(1130553400)","23,171","11,018","          2.10","11,552","11,619","          0.99"
"서울특별시 강북구 미아동(1130553500)","21,322","11,691","          1.82","10,240","11,082","          0.92"
"서울특별시 강북구 송중동(1130554500)","29,425","14,033","          2.10","14,152","15,273","          0.93"
"서울특별시 강북구 송천동(1130555500)","25,844","13,469","          1.92","12,782","13,062","          0.98"
"서울특별시 강북구 삼각산동(1130557500)","30,848","11,528","          2.68","14,804","16,044","          0.92"
"서울특별시 강북구 번1동(1130559500)","18,325","10,481","          1.75","9,237","9,088","          1.02"
"서울특별시 강북구 번2동(1130560300)","15,481","7,553","          2.05","7,482","7,999","          0.94"
"서울특별시 강북구 번3동(1130560800)","16,541","7,445","          2.22","7,731","8,810","          0.88"
"서울특별시 강북구 수유1동(1130561500)","20,538","10,569","          1.94","10,102","10,436","          0.97"
"서울특별시 강북구 수유2동(1130562500)","21,106","9,904","          2.13","10,030","11,076","          0.91"
"서울특별시 강북구 수유3동(1130563500)","23,117","13,419","          1.72","11,460","11,657","          0.98"
"서울특별시 강북구 우이동(1130564500)","20,407","9,686","          2.11","9,838","10,569","          0.93"
"서울특별시 강북구 인수동(1130566000)","29,948","14,408","          2.08","14,451","15,497","          0.93"
"서울특별시 도봉구 (1132000000)","313,835","138,975","          2.26","152,495","161,340","          0.95"
"서울특별시 도봉구 창제1동(1132051100)","24,386","10,972","          2.22","11,607","12,779","          0.91"
"서울특별시 도봉구 창제2동(1132051200)","28,817","12,648","          2.28","13,977","14,840","          0.94"
"서울특별시 도봉구 창제3동(1132051300)","13,632","6,517","          2.09","6,806","6,826","          1.00"
"서울특별시 도봉구 창제4동(1132051400)","26,269","10,677","          2.46","12,632","13,637","          0.93"
"서울특별시 도봉구 창제5동(1132051500)","24,304","10,244","          2.37","11,628","12,676","          0.92"
"서울특별시 도봉구 도봉제1동(1132052100)","20,710","10,380","          2.00","10,379","10,331","          1.00"
"서울특별시 도봉구 도봉제2동(1132052200)","26,306","11,745","          2.24","12,855","13,451","          0.96"
"서울특별시 도봉구 쌍문제1동(1132066000)","21,261","9,507","          2.24","10,208","11,053","          0.92"
"서울특별시 도봉구 쌍문제2동(1132067000)","18,573","8,615","          2.16","8,837","9,736","          0.91"
"서울특별시 도봉구 쌍문제3동(1132068000)","16,934","8,303","          2.04","8,162","8,772","          0.93"
"서울특별시 도봉구 쌍문제4동(1132068100)","18,403","7,102","          2.59","8,673","9,730","          0.89"
"서울특별시 도봉구 방학제1동(1132069000)","28,330","12,977","          2.18","14,076","14,254","          0.99"
"서울특별시 도봉구 방학제2동(1132070000)","19,249","9,310","          2.07","9,736","9,513","          1.02"
"서울특별시 도봉구 방학제3동(1132071000)","26,661","9,978","          2.67","12,919","13,742","          0.94"
"서울특별시 노원구 (1135000000)","507,076","218,649","          2.32","243,842","263,234","          0.93"
"서울특별시 노원구 월계1동(1135056000)","21,189","10,161","          2.09","10,933","10,256","          1.07"
"서울특별시 노원구 월계2동(1135057000)","26,115","11,850","          2.20","12,548","13,567","          0.92"
"서울특별시 노원구 월계3동(1135058000)","29,493","12,981","          2.27","14,071","15,422","          0.91"
"서울특별시 노원구 공릉1동(1135059500)","36,707","18,582","          1.98","17,828","18,879","          0.94"
"서울특별시 노원구 공릉2동(1135060000)","41,881","17,801","          2.35","20,402","21,479","          0.95"
"서울특별시 노원구 하계1동(1135061100)","26,480","11,924","          2.22","12,674","13,806","          0.92"
"서울특별시 노원구 하계2동(1135061200)","21,667","8,185","          2.65","10,281","11,386","          0.90"
"서울특별시 노원구 중계본동(1135061900)","23,590","8,327","          2.83","11,476","12,114","          0.95"
"서울특별시 노원구 중계1동(1135062100)","26,462","8,917","          2.97","12,891","13,571","          0.95"
"서울특별시 노원구 중계4동(1135062400)","19,621","8,295","          2.37","9,419","10,202","          0.92"
"서울특별시 노원구 중계2.3동(1135062500)","33,673","15,211","          2.21","15,452","18,221","          0.85"
"서울특별시 노원구 상계1동(1135063000)","37,846","15,699","          2.41","18,276","19,570","          0.93"
"서울특별시 노원구 상계2동(1135064000)","19,706","8,658","          2.28","9,707","9,999","          0.97"
"서울특별시 노원구 상계3.4동(1135066500)","25,647","11,920","          2.15","12,771","12,876","          0.99"
"서울특별시 노원구 상계5동(1135067000)","23,729","10,988","          2.16","11,506","12,223","          0.94"
"서울특별시 노원구 상계6.7동(1135069500)","32,233","13,903","          2.32","14,871","17,362","          0.86"
"서울특별시 노원구 상계8동(1135070000)","22,430","9,232","          2.43","10,721","11,709","          0.92"
"서울특별시 노원구 상계9동(1135071000)","20,158","8,369","          2.41","9,472","10,686","          0.89"
"서울특별시 노원구 상계10동(1135072000)","18,449","7,646","          2.41","8,543","9,906","          0.86"
"서울특별시 은평구 (1138000000)","472,954","216,698","          2.18","225,732","247,222","          0.91"
"서울특별시 은평구 녹번동(1138051000)","36,700","17,715","          2.07","17,294","19,406","          0.89"
"서울특별시 은평구 불광제1동(1138052000)","38,211","17,872","          2.14","17,991","20,220","          0.89"
"서울특별시 은평구 불광제2동(1138053000)","27,186","14,027","          1.94","13,096","14,090","          0.93"
"서울특별시 은평구 갈현제1동(1138055100)","20,734","10,385","          2.00","10,143","10,591","          0.96"
"서울특별시 은평구 갈현제2동(1138055200)","28,072","12,698","          2.21","13,316","14,756","          0.90"
"서울특별시 은평구 구산동(1138056000)","32,046","13,482","          2.38","15,664","16,382","          0.96"
"서울특별시 은평구 대조동(1138057000)","26,828","14,674","          1.83","12,450","14,378","          0.87"
"서울특별시 은평구 응암제1동(1138058000)","32,857","14,986","          2.19","15,490","17,367","          0.89"
"서울특별시 은평구 응암제2동(1138059000)","28,005","11,331","          2.47","13,558","14,447","          0.94"
"서울특별시 은평구 응암제3동(1138060000)","24,140","12,622","          1.91","11,716","12,424","          0.94"
"서울특별시 은평구 역촌동(1138062500)","44,878","20,935","          2.14","21,029","23,849","          0.88"
"서울특별시 은평구 신사제1동(1138063100)","26,859","11,966","          2.24","12,927","13,932","          0.93"
"서울특별시 은평구 신사제2동(1138063200)","19,595","8,812","          2.22","9,749","9,846","          0.99"
"서울특별시 은평구 증산동(1138064000)","18,386","7,996","          2.30","8,983","9,403","          0.96"
"서울특별시 은평구 수색동(1138065000)","13,136","5,565","          2.36","6,443","6,693","          0.96"
"서울특별시 은평구 진관동(1138069000)","55,321","21,632","          2.56","25,883","29,438","          0.88"
"서울특별시 서대문구 (1141000000)","306,253","146,054","          2.10","145,948","160,305","          0.91"
"서울특별시 서대문구 천연동(1141052000)","16,910","7,736","          2.19","8,007","8,903","          0.90"
"서울특별시 서대문구 북아현동(1141055500)","15,763","7,200","          2.19","7,563","8,200","          0.92"
"서울특별시 서대문구 충현동(1141056500)","20,147","10,218","          1.97","9,678","10,469","          0.92"
"서울특별시 서대문구 신촌동(1141058500)","20,286","14,714","          1.38","8,891","11,395","          0.78"
"서울특별시 서대문구 연희동(1141061500)","34,812","18,809","          1.85","16,666","18,146","          0.92"
"서울특별시 서대문구 홍제제1동(1141062000)","23,398","10,406","          2.25","10,944","12,454","          0.88"
"서울특별시 서대문구 홍제제3동(1141064000)","17,749","8,087","          2.19","8,524","9,225","          0.92"
"서울특별시 서대문구 홍제제2동(1141065500)","13,553","5,811","          2.33","6,345","7,208","          0.88"
"서울특별시 서대문구 홍은제1동(1141066000)","22,770","9,879","          2.30","11,028","11,742","          0.94"
"서울특별시 서대문구 홍은제2동(1141068500)","26,195","12,348","          2.12","12,590","13,605","          0.93"
"서울특별시 서대문구 남가좌제1동(1141069000)","16,051","5,856","          2.74","7,710","8,341","          0.92"
"서울특별시 서대문구 남가좌제2동(1141070000)","29,625","13,421","          2.21","14,275","15,350","          0.93"
"서울특별시 서대문구 북가좌제1동(1141071000)","17,864","6,902","          2.59","8,574","9,290","          0.92"
"서울특별시 서대문구 북가좌제2동(1141072000)","31,130","14,667","          2.12","15,153","15,977","          0.95"
"서울특별시 마포구 (1144000000)","367,190","181,463","          2.02","172,317","194,873","          0.88"
"서울특별시 마포구 아현동(1144055500)","25,198","10,535","          2.39","11,792","13,406","          0.88"
"서울특별시 마포구 공덕동(1144056500)","37,078","18,713","          1.98","17,383","19,695","          0.88"
"서울특별시 마포구 도화동(1144058500)","20,929","9,334","          2.24","9,956","10,973","          0.91"
"서울특별시 마포구 용강동(1144059000)","21,390","9,309","          2.30","10,129","11,261","          0.90"
"서울특별시 마포구 대흥동(1144060000)","14,646","8,882","          1.65","7,106","7,540","          0.94"
"서울특별시 마포구 염리동(1144061000)","16,972","7,918","          2.14","8,121","8,851","          0.92"
"서울특별시 마포구 신수동(1144063000)","22,433","10,103","          2.22","10,945","11,488","          0.95"
"서울특별시 마포구 서강동(1144065500)","24,920","12,258","          2.03","11,896","13,024","          0.91"
"서울특별시 마포구 서교동(1144066000)","24,882","15,623","          1.59","11,370","13,512","          0.84"
"서울특별시 마포구 합정동(1144068000)","17,058","9,528","          1.79","7,880","9,178","          0.86"
"서울특별시 마포구 망원제1동(1144069000)","19,690","10,299","          1.91","9,209","10,481","          0.88"
"서울특별시 마포구 망원제2동(1144070000)","18,439","8,488","          2.17","8,612","9,827","          0.88"
"서울특별시 마포구 연남동(1144071000)","14,762","8,600","          1.72","6,986","7,776","          0.90"
"서울특별시 마포구 성산제1동(1144072000)","18,873","9,510","          1.98","8,852","10,021","          0.88"
"서울특별시 마포구 성산제2동(1144073000)","39,498","19,601","          2.02","17,673","21,825","          0.81"
"서울특별시 마포구 상암동(1144074000)","30,422","12,762","          2.38","14,407","16,015","          0.90"
"서울특별시 양천구 (1147000000)","443,847","182,220","          2.44","217,268","226,579","          0.96"
"서울특별시 양천구 목1동(1147051000)","30,518","10,430","          2.93","14,690","15,828","          0.93"
"서울특별시 양천구 목2동(1147052000)","29,688","13,439","          2.21","14,406","15,282","          0.94"
"서울특별시 양천구 목3동(1147053000)","21,829","10,192","          2.14","10,419","11,410","          0.91"
"서울특별시 양천구 목4동(1147054000)","25,075","10,181","          2.46","12,276","12,799","          0.96"
"서울특별시 양천구 목5동(1147055000)","40,801","13,433","          3.04","20,222","20,579","          0.98"
"서울특별시 양천구 신월1동(1147056000)","20,332","10,343","          1.97","10,419","9,913","          1.05"
"서울특별시 양천구 신월2동(1147057000)","20,521","8,507","          2.41","10,009","10,512","          0.95"
"서울특별시 양천구 신월3동(1147058000)","14,913","7,919","          1.88","7,844","7,069","          1.11"
"서울특별시 양천구 신월4동(1147059000)","17,736","6,894","          2.57","8,646","9,090","          0.95"
"서울특별시 양천구 신월5동(1147060000)","14,457","6,493","          2.23","7,204","7,253","          0.99"
"서울특별시 양천구 신월6동(1147061000)","13,745","5,339","          2.57","6,704","7,041","          0.95"
"서울특별시 양천구 신월7동(1147061100)","19,284","9,148","          2.11","9,414","9,870","          0.95"
"서울특별시 양천구 신정1동(1147062000)","19,956","7,031","          2.84","9,715","10,241","          0.95"
"서울특별시 양천구 신정2동(1147063000)","19,050","6,914","          2.76","9,341","9,709","          0.96"
"서울특별시 양천구 신정3동(1147064000)","50,377","19,786","          2.55","24,431","25,946","          0.94"
"서울특별시 양천구 신정4동(1147065000)","32,673","16,436","          1.99","15,921","16,752","          0.95"
"서울특별시 양천구 신정6동(1147067000)","24,241","8,251","          2.94","11,798","12,443","          0.95"
"서울특별시 양천구 신정7동(1147068000)","28,651","11,484","          2.49","13,809","14,842","          0.93"
"서울특별시 강서구 (1150000000)","572,230","274,551","          2.08","274,771","297,459","          0.92"
"서울특별시 강서구 염창동(1150051000)","41,715","16,592","          2.51","20,114","21,601","          0.93"
"서울특별시 강서구 등촌제1동(1150052000)","24,805","14,016","          1.77","11,449","13,356","          0.86"
"서울특별시 강서구 등촌제2동(1150053000)","19,869","8,613","          2.31","9,658","10,211","          0.95"
"서울특별시 강서구 등촌제3동(1150053500)","30,097","15,153","          1.99","14,248","15,849","          0.90"
"서울특별시 강서구 화곡제1동(1150054000)","51,960","28,336","          1.83","25,277","26,683","          0.95"
"서울특별시 강서구 화곡제2동(1150055000)","17,644","8,234","          2.14","8,535","9,109","          0.94"
"서울특별시 강서구 화곡제3동(1150056000)","21,527","9,769","          2.20","10,256","11,271","          0.91"
"서울특별시 강서구 화곡제4동(1150057000)","20,382","9,815","          2.08","9,992","10,390","          0.96"
"서울특별시 강서구 화곡본동(1150059000)","34,042","17,540","          1.94","16,435","17,607","          0.93"
"서울특별시 강서구 화곡제6동(1150059100)","25,041","13,066","          1.92","12,005","13,036","          0.92"
"서울특별시 강서구 화곡제8동(1150059300)","24,321","11,968","          2.03","11,753","12,568","          0.94"
"서울특별시 강서구 가양제1동(1150060300)","34,196","20,780","          1.65","15,568","18,628","          0.84"
"서울특별시 강서구 가양제2동(1150060400)","13,945","8,147","          1.71","6,584","7,361","          0.89"
"서울특별시 강서구 가양제3동(1150060500)","14,754","7,850","          1.88","6,859","7,895","          0.87"
"서울특별시 강서구 발산제1동(1150061100)","36,141","13,522","          2.67","17,045","19,096","          0.89"
"서울특별시 강서구 우장산동(1150061500)","42,540","16,172","          2.63","20,321","22,219","          0.91"
"서울특별시 강서구 공항동(1150062000)","30,666","14,076","          2.18","15,470","15,196","          1.02"
"서울특별시 강서구 방화제1동(1150063000)","42,777","17,395","          2.46","20,838","21,939","          0.95"
"서울특별시 강서구 방화제2동(1150064000)","23,246","12,173","          1.91","11,468","11,778","          0.97"
"서울특별시 강서구 방화제3동(1150064100)","22,562","11,334","          1.99","10,896","11,666","          0.93"
"서울특별시 구로구 (1153000000)","394,246","182,464","          2.16","193,935","200,311","          0.97"
"서울특별시 구로구 신도림동(1153051000)","35,945","13,933","          2.58","17,435","18,510","          0.94"
"서울특별시 구로구 구로제1동(1153052000)","20,762","8,370","          2.48","10,154","10,608","          0.96"
