,신선도,신선도예측,신선도 정답 여부,종류,종류예측,종류 정답 여부,파일명
16,fresh,fresh,True,banana,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_banana/Screen Shot 2018-06-12 at 9.41.57 PM.png
17,stale,fresh,False,banana,banana,True,/Users/jongya/Desktop/data/data/archive/stale_banana/Screen Shot 2018-06-12 at 9.10.32 PM.png
18,stale,fresh,False,pepper,broccoli,False,/Users/jongya/Desktop/data/data/archive/stale_pepper/503877_20210802_5_2_b3_1_2_13_1_148.jpg
19,stale,fresh,False,capsicum,apple,False,/Users/jongya/Desktop/data/data/archive/stale_capsicum/WhatsApp Image 2020-11-07 at 11.30.46 PM.jpeg_0_575.jpg
20,fresh,fresh,True,orange,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_orange/Screen Shot 2018-06-13 at 12.03.34 AM.png
21,stale,fresh,False,apple,apple,True,/Users/jongya/Desktop/data/data/archive/stale_apple/Screen Shot 2018-06-08 at 2.45.05 PM.png
22,fresh,fresh,True,orange,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_orange/Screen Shot 2018-06-13 at 12.17.19 AM.png
23,fresh,fresh,True,broccoli,broccoli,True,/Users/jongya/Desktop/data/data/archive/fresh_broccoli/google_0084.jpg
24,fresh,fresh,True,mandarin,cherryTomato,False,/Users/jongya/Desktop/data/data/archive/fresh_mandarin/naver_0255.png
25,stale,fresh,False,broccoli,banana,False,/Users/jongya/Desktop/data/data/archive/stale_broccoli/google_0081.jpg
26,stale,fresh,False,banana,banana,True,/Users/jongya/Desktop/data/data/archive/stale_banana/naver_0197.jpg
27,fresh,fresh,True,grape,broccoli,False,/Users/jongya/Desktop/data/data/archive/fresh_grape/google_0054.jpg
28,stale,fresh,False,strawberry,cherryTomato,False,/Users/jongya/Desktop/data/data/archive/stale_strawberry/google_0009.jpg
29,fresh,fresh,True,orange,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_orange/Screen Shot 2018-06-13 at 12.00.17 AM.png
30,stale,fresh,False,pepper,apple,False,/Users/jongya/Desktop/data/data/archive/stale_pepper/google_0011.jpg
31,stale,fresh,False,pepper,apple,False,/Users/jongya/Desktop/data/data/archive/stale_pepper/google_0238 (2).jpg
32,stale,fresh,False,pepper,cherryTomato,False,/Users/jongya/Desktop/data/data/archive/stale_pepper/559819_20210831_5_3_c7_1_2_13_1_97.jpg
33,fresh,fresh,True,grape,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_grape/naver_0231.jpg
34,stale,fresh,False,orange,apple,False,/Users/jongya/Desktop/data/data/archive/stale_orange/Screen Shot 2018-06-12 at 11.36.42 PM.png
35,fresh,fresh,True,apple,apple,True,/Users/jongya/Desktop/data/data/archive/fresh_apple/naver_0040.jpg
36,fresh,fresh,True,mandarin,cherryTomato,False,/Users/jongya/Desktop/data/data/archive/fresh_mandarin/google_0283.jpg
37,fresh,fresh,True,apple,apple,True,/Users/jongya/Desktop/data/data/archive/fresh_apple/naver_0047.jpg
38,fresh,fresh,True,cherryTomato,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_cherryTomato/naver_0119.jpg
39,fresh,fresh,True,pepper,cherryTomato,False,/Users/jongya/Desktop/data/data/archive/fresh_pepper/google_0176.jpg
40,stale,fresh,False,banana,apple,False,/Users/jongya/Desktop/data/data/archive/stale_banana/Screen Shot 2018-06-12 at 9.25.18 PM.png
41,fresh,fresh,True,mandarin,cherryTomato,False,/Users/jongya/Desktop/data/data/archive/fresh_mandarin/naver_0156.jpg
42,fresh,fresh,True,cherryTomato,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_cherryTomato/naver_0118.jpg
43,stale,fresh,False,banana,banana,True,/Users/jongya/Desktop/data/data/archive/stale_banana/Screen Shot 2018-06-12 at 9.03.34 PM.png
44,stale,fresh,False,orange,apple,False,/Users/jongya/Desktop/data/data/archive/stale_orange/Screen Shot 2018-06-12 at 11.19.01 PM.png
45,stale,fresh,False,pepper,apple,False,/Users/jongya/Desktop/data/data/archive/stale_pepper/google_0055.jpg
46,stale,fresh,False,banana,banana,True,/Users/jongya/Desktop/data/data/archive/stale_banana/Screen Shot 2018-06-12 at 9.08.54 PM.png
47,stale,fresh,False,apple,apple,True,/Users/jongya/Desktop/data/data/archive/stale_apple/Screen Shot 2018-06-07 at 2.40.00 PM.png
48,stale,fresh,False,apple,apple,True,/Users/jongya/Desktop/data/data/archive/stale_apple/naver_0421.png
49,fresh,fresh,True,grape,broccoli,False,/Users/jongya/Desktop/data/data/archive/fresh_grape/naver_0253.jpg
50,stale,fresh,False,strawberry,apple,False,/Users/jongya/Desktop/data/data/archive/stale_strawberry/google_0303.jpg
51,stale,fresh,False,banana,apple,False,/Users/jongya/Desktop/data/data/archive/stale_banana/Screen Shot 2018-06-12 at 9.10.27 PM.png
52,fresh,fresh,True,strawberry,cherryTomato,False,/Users/jongya/Desktop/data/data/archive/fresh_strawberry/google_0171.jpg
53,fresh,fresh,True,grape,broccoli,False,/Users/jongya/Desktop/data/data/archive/fresh_grape/google_0208.jpg
54,fresh,fresh,True,grape,banana,False,/Users/jongya/Desktop/data/data/archive/fresh_grape/google_0255.jpg
55,fresh,fresh,True,mandarin,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_mandarin/naver_0125.jpg
56,fresh,fresh,True,pepper,broccoli,False,/Users/jongya/Desktop/data/data/archive/fresh_pepper/naver_0208.jpg
57,fresh,fresh,True,broccoli,broccoli,True,/Users/jongya/Desktop/data/data/archive/fresh_broccoli/google_0027.jpg
58,fresh,fresh,True,grape,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_grape/google_0186.jpg
59,fresh,fresh,True,broccoli,broccoli,True,/Users/jongya/Desktop/data/data/archive/fresh_broccoli/google_0102.jpg
60,fresh,fresh,True,mandarin,cherryTomato,False,/Users/jongya/Desktop/data/data/archive/fresh_mandarin/naver_0013.jpg
61,stale,fresh,False,orange,apple,False,/Users/jongya/Desktop/data/data/archive/stale_orange/Screen Shot 2018-06-12 at 11.47.08 PM.png
62,fresh,fresh,True,mandarin,cherryTomato,False,/Users/jongya/Desktop/data/data/archive/fresh_mandarin/naver_0014.jpg
63,fresh,fresh,True,capsicum,broccoli,False,/Users/jongya/Desktop/data/data/archive/fresh_capsicum/capsicum3_7.jpg_0_522.jpg
64,fresh,fresh,True,banana,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_banana/Screen Shot 2018-06-12 at 9.45.15 PM.png
65,fresh,fresh,True,pepper,broccoli,False,/Users/jongya/Desktop/data/data/archive/fresh_pepper/naver_0103.jpg
66,fresh,fresh,True,mandarin,cherryTomato,False,/Users/jongya/Desktop/data/data/archive/fresh_mandarin/naver_0024.jpg
67,stale,fresh,False,apple,apple,True,/Users/jongya/Desktop/data/data/archive/stale_apple/Screen Shot 2018-06-07 at 2.34.18 PM.png
68,stale,fresh,False,apple,apple,True,/Users/jongya/Desktop/data/data/archive/stale_apple/Screen Shot 2018-06-07 at 2.22.39 PM.png
69,fresh,fresh,True,mandarin,cherryTomato,False,/Users/jongya/Desktop/data/data/archive/fresh_mandarin/google_0574.jpg
70,fresh,fresh,True,apple,apple,True,/Users/jongya/Desktop/data/data/archive/fresh_apple/Screen Shot 2018-06-08 at 5.20.56 PM.png
71,fresh,fresh,True,pepper,broccoli,False,/Users/jongya/Desktop/data/data/archive/fresh_pepper/naver_0226.jpg
72,fresh,fresh,True,orange,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_orange/Screen Shot 2018-06-13 at 12.17.37 AM.png
73,fresh,fresh,True,pepper,banana,False,/Users/jongya/Desktop/data/data/archive/fresh_pepper/490281_20211001_5_0_0_1_2_12_0_66.jpg
74,fresh,fresh,True,apple,apple,True,/Users/jongya/Desktop/data/data/archive/fresh_apple/Screen Shot 2018-06-08 at 5.27.27 PM.png
75,stale,fresh,False,capsicum,banana,False,/Users/jongya/Desktop/data/data/archive/stale_capsicum/IMG_20220602_084923.jpg
76,stale,fresh,False,orange,apple,False,/Users/jongya/Desktop/data/data/archive/stale_orange/Screen Shot 2018-06-12 at 11.36.35 PM.png
77,fresh,fresh,True,strawberry,broccoli,False,/Users/jongya/Desktop/data/data/archive/fresh_strawberry/naver_0315.jpg
78,stale,fresh,False,apple,apple,True,/Users/jongya/Desktop/data/data/archive/stale_apple/Screen Shot 2018-06-07 at 3.01.54 PM.png
79,fresh,fresh,True,banana,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_banana/Screen Shot 2018-06-12 at 9.39.00 PM.png
80,fresh,fresh,True,banana,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_banana/Screen Shot 2018-06-12 at 9.57.38 PM.png
81,fresh,fresh,True,cherryTomato,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_cherryTomato/naver_0281.jpg
82,fresh,fresh,True,apple,apple,True,/Users/jongya/Desktop/data/data/archive/fresh_apple/Screen Shot 2018-06-08 at 5.16.06 PM.png
83,fresh,fresh,True,grape,banana,False,/Users/jongya/Desktop/data/data/archive/fresh_grape/google_0372.jpg
84,stale,fresh,False,apple,apple,True,/Users/jongya/Desktop/data/data/archive/stale_apple/Screen Shot 2018-06-07 at 2.52.09 PM.png
85,fresh,fresh,True,grape,broccoli,False,/Users/jongya/Desktop/data/data/archive/fresh_grape/google_0434.jpg
86,fresh,fresh,True,strawberry,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_strawberry/naver_0189.jpg
87,fresh,fresh,True,apple,apple,True,/Users/jongya/Desktop/data/data/archive/fresh_apple/naver_0078.jpg
88,fresh,fresh,True,capsicum,broccoli,False,/Users/jongya/Desktop/data/data/archive/fresh_capsicum/1396.jpg
89,fresh,fresh,True,orange,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_orange/Screen Shot 2018-06-13 at 12.01.32 AM.png
90,stale,fresh,False,cherryTomato,cherryTomato,True,/Users/jongya/Desktop/data/data/archive/stale_cherryTomato/stock-photo-stale-cherry-tomatoes-on-a-gray-background-1232904850.jpg
91,fresh,fresh,True,mandarin,cherryTomato,False,/Users/jongya/Desktop/data/data/archive/fresh_mandarin/naver_0037.jpg
92,stale,fresh,False,cherryTomato,capsicum,False,/Users/jongya/Desktop/data/data/archive/stale_cherryTomato/DSCN4238.jpg_0_166.jpg
93,stale,fresh,False,capsicum,broccoli,False,/Users/jongya/Desktop/data/data/archive/stale_capsicum/IMG_20220607_091041.jpg
94,fresh,fresh,True,strawberry,cherryTomato,False,/Users/jongya/Desktop/data/data/archive/fresh_strawberry/naver_0098.jpg
95,fresh,fresh,True,banana,banana,True,/Users/jongya/Desktop/data/data/archive/fresh_banana/Screen Shot 2018-06-12 at 9.52.45 PM.png
96,fresh,fresh,True,grape,broccoli,False,/Users/jongya/Desktop/data/data/archive/fresh_grape/google_0381.jpg
97,fresh,fresh,True,banana,banana,True,/Users/jongya/Desktop/data/data/archive/fresh_banana/Screen Shot 2018-06-12 at 10.04.49 PM.png
98,fresh,fresh,True,strawberry,broccoli,False,/Users/jongya/Desktop/data/data/archive/fresh_strawberry/google_0194.jpg
99,fresh,fresh,True,orange,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_orange/Screen Shot 2018-06-13 at 12.01.23 AM.png
100,fresh,fresh,True,cherryTomato,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_cherryTomato/naver_0160.jpg
101,stale,fresh,False,cherryTomato,cherryTomato,True,/Users/jongya/Desktop/data/data/archive/stale_cherryTomato/142502444.jpg
102,stale,fresh,False,pepper,apple,False,/Users/jongya/Desktop/data/data/archive/stale_pepper/559460_20210830_5_3_c7_1_2_13_1_36.jpg
103,fresh,fresh,True,pepper,broccoli,False,/Users/jongya/Desktop/data/data/archive/fresh_pepper/naver_0228.png
104,fresh,fresh,True,grape,broccoli,False,/Users/jongya/Desktop/data/data/archive/fresh_grape/google_0121.jpg
105,fresh,fresh,True,mandarin,cherryTomato,False,/Users/jongya/Desktop/data/data/archive/fresh_mandarin/naver_0218.jpg
106,fresh,fresh,True,cherryTomato,banana,False,/Users/jongya/Desktop/data/data/archive/fresh_cherryTomato/Tre_040.jpg
107,fresh,fresh,True,pepper,broccoli,False,/Users/jongya/Desktop/data/data/archive/fresh_pepper/google_0092.jpg
108,stale,fresh,False,apple,apple,True,/Users/jongya/Desktop/data/data/archive/stale_apple/Screen Shot 2018-06-07 at 2.59.13 PM.png
109,fresh,fresh,True,grape,banana,False,/Users/jongya/Desktop/data/data/archive/fresh_grape/google_0393.jpg
110,fresh,fresh,True,apple,apple,True,/Users/jongya/Desktop/data/data/archive/fresh_apple/Screen Shot 2018-06-08 at 5.23.23 PM.png
111,fresh,fresh,True,grape,banana,False,/Users/jongya/Desktop/data/data/archive/fresh_grape/naver_0322.jpg
112,stale,fresh,False,pepper,broccoli,False,/Users/jongya/Desktop/data/data/archive/stale_pepper/504758_20210805_5_2_b3_1_2_13_1_446.jpg
113,fresh,fresh,True,banana,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_banana/Screen Shot 2018-06-12 at 10.05.20 PM.png
114,fresh,fresh,True,orange,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_orange/Screen Shot 2018-06-13 at 12.15.13 AM.png
115,stale,fresh,False,apple,apple,True,/Users/jongya/Desktop/data/data/archive/stale_apple/Screen Shot 2018-06-07 at 2.45.35 PM.png
116,fresh,fresh,True,mandarin,cherryTomato,False,/Users/jongya/Desktop/data/data/archive/fresh_mandarin/google_0100.jpg
117,stale,fresh,False,banana,banana,True,/Users/jongya/Desktop/data/data/archive/stale_banana/Screen Shot 2018-06-12 at 9.04.01 PM.png
118,stale,fresh,False,orange,cherryTomato,False,/Users/jongya/Desktop/data/data/archive/stale_orange/Screen Shot 2018-06-12 at 11.30.16 PM.png
119,stale,fresh,False,pepper,capsicum,False,/Users/jongya/Desktop/data/data/archive/stale_pepper/557409_20210809_5_1_a7_1_2_13_1_41.jpg
120,stale,fresh,False,capsicum,broccoli,False,/Users/jongya/Desktop/data/data/archive/stale_capsicum/IMG_20220607_091338.jpg
121,stale,fresh,False,apple,apple,True,/Users/jongya/Desktop/data/data/archive/stale_apple/Screen Shot 2018-06-07 at 3.00.56 PM.png
122,fresh,fresh,True,strawberry,capsicum,False,/Users/jongya/Desktop/data/data/archive/fresh_strawberry/google_0240.jpg
123,fresh,fresh,True,orange,cherryTomato,False,/Users/jongya/Desktop/data/data/archive/fresh_orange/naver_0135.jpg
124,fresh,fresh,True,apple,apple,True,/Users/jongya/Desktop/data/data/archive/fresh_apple/Screen Shot 2018-06-08 at 5.26.24 PM.png
125,fresh,fresh,True,orange,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_orange/Screen Shot 2018-06-13 at 12.07.39 AM.png
126,fresh,fresh,True,apple,apple,True,/Users/jongya/Desktop/data/data/archive/fresh_apple/Screen Shot 2018-06-08 at 5.25.54 PM.png
127,fresh,fresh,True,cherryTomato,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_cherryTomato/Tre_007.jpg
128,stale,fresh,False,banana,apple,False,/Users/jongya/Desktop/data/data/archive/stale_banana/Screen Shot 2018-06-12 at 8.56.54 PM.png
129,stale,fresh,False,capsicum,broccoli,False,/Users/jongya/Desktop/data/data/archive/stale_capsicum/IMG_20220601_094233.jpg
130,fresh,fresh,True,cherryTomato,capsicum,False,/Users/jongya/Desktop/data/data/archive/fresh_cherryTomato/Tre_042.jpg
131,fresh,fresh,True,capsicum,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_capsicum/0939.jpg
132,fresh,fresh,True,cherryTomato,cherryTomato,True,/Users/jongya/Desktop/data/data/archive/fresh_cherryTomato/naver_0042.jpg
133,fresh,fresh,True,apple,broccoli,False,/Users/jongya/Desktop/data/data/archive/fresh_apple/naver_0050.jpg
134,fresh,fresh,True,mandarin,banana,False,/Users/jongya/Desktop/data/data/archive/fresh_mandarin/naver_0000.jpg
135,fresh,fresh,True,strawberry,cherryTomato,False,/Users/jongya/Desktop/data/data/archive/fresh_strawberry/naver_0151.jpg
136,fresh,fresh,True,pepper,broccoli,False,/Users/jongya/Desktop/data/data/archive/fresh_pepper/naver_0434.png
137,stale,fresh,False,broccoli,broccoli,True,/Users/jongya/Desktop/data/data/archive/stale_broccoli/google_0143.jpg
138,fresh,fresh,True,pepper,broccoli,False,/Users/jongya/Desktop/data/data/archive/fresh_pepper/google_0099.jpg
139,fresh,fresh,True,pepper,broccoli,False,/Users/jongya/Desktop/data/data/archive/fresh_pepper/naver_0410.jpg
140,stale,fresh,False,apple,apple,True,/Users/jongya/Desktop/data/data/archive/stale_apple/Screen Shot 2018-06-07 at 3.02.37 PM.png
141,fresh,fresh,True,orange,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_orange/Screen Shot 2018-06-12 at 11.58.28 PM.png
142,fresh,fresh,True,grape,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_grape/google_0211.jpg
143,stale,fresh,False,strawberry,broccoli,False,/Users/jongya/Desktop/data/data/archive/stale_strawberry/google_0434.jpg
144,stale,fresh,False,cherryTomato,cherryTomato,True,/Users/jongya/Desktop/data/data/archive/stale_cherryTomato/•Rotten-tomatoes.jpg
145,fresh,fresh,True,cherryTomato,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_cherryTomato/naver_0273.jpg
146,fresh,fresh,True,pepper,broccoli,False,/Users/jongya/Desktop/data/data/archive/fresh_pepper/naver_0426.jpg
147,fresh,fresh,True,mandarin,cherryTomato,False,/Users/jongya/Desktop/data/data/archive/fresh_mandarin/naver_0256.jpg
148,stale,fresh,False,capsicum,apple,False,/Users/jongya/Desktop/data/data/archive/stale_capsicum/WhatsApp Image 2020-11-07 at 11.43.17 PM.jpeg_0_33.jpg
149,stale,fresh,False,grape,banana,False,/Users/jongya/Desktop/data/data/archive/stale_grape/google_0206.jpg
150,fresh,fresh,True,grape,banana,False,/Users/jongya/Desktop/data/data/archive/fresh_grape/google_0165.jpg
151,fresh,fresh,True,capsicum,broccoli,False,/Users/jongya/Desktop/data/data/archive/fresh_capsicum/naver_0020.jpg
152,fresh,fresh,True,banana,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_banana/Screen Shot 2018-06-12 at 9.47.51 PM.png
153,stale,fresh,False,pepper,broccoli,False,/Users/jongya/Desktop/data/data/archive/stale_pepper/556855_20210730_5_1_a7_1_2_13_1_62.jpg
154,stale,fresh,False,apple,apple,True,/Users/jongya/Desktop/data/data/archive/stale_apple/Screen Shot 2018-06-08 at 2.28.23 PM.png
155,stale,fresh,False,cherryTomato,apple,False,/Users/jongya/Desktop/data/data/archive/stale_cherryTomato/gettyimages-726854305-612x612.jpg
156,fresh,fresh,True,apple,apple,True,/Users/jongya/Desktop/data/data/archive/fresh_apple/naver_0045.jpg
157,stale,fresh,False,strawberry,apple,False,/Users/jongya/Desktop/data/data/archive/stale_strawberry/google_0423.jpg
158,stale,fresh,False,banana,apple,False,/Users/jongya/Desktop/data/data/archive/stale_banana/Screen Shot 2018-06-12 at 9.07.04 PM.png
159,stale,fresh,False,capsicum,broccoli,False,/Users/jongya/Desktop/data/data/archive/stale_capsicum/IMG_20220601_094214.jpg
160,fresh,fresh,True,orange,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_orange/Screen Shot 2018-06-12 at 11.51.47 PM.png
161,stale,fresh,False,banana,apple,False,/Users/jongya/Desktop/data/data/archive/stale_banana/Screen Shot 2018-06-12 at 8.53.09 PM.png
162,stale,fresh,False,capsicum,banana,False,/Users/jongya/Desktop/data/data/archive/stale_capsicum/IMG_20220602_084924.jpg
163,stale,fresh,False,apple,apple,True,/Users/jongya/Desktop/data/data/archive/stale_apple/Screen Shot 2018-06-08 at 2.36.55 PM.png
164,stale,fresh,False,strawberry,apple,False,/Users/jongya/Desktop/data/data/archive/stale_strawberry/google_0193.jpg
165,stale,fresh,False,grape,broccoli,False,/Users/jongya/Desktop/data/data/archive/stale_grape/google_0196.jpg
166,fresh,fresh,True,strawberry,broccoli,False,/Users/jongya/Desktop/data/data/archive/fresh_strawberry/naver_0219.png
167,fresh,fresh,True,apple,apple,True,/Users/jongya/Desktop/data/data/archive/fresh_apple/Screen Shot 2018-06-08 at 5.32.43 PM.png
168,fresh,fresh,True,mandarin,cherryTomato,False,/Users/jongya/Desktop/data/data/archive/fresh_mandarin/naver_0154.jpg
169,stale,fresh,False,orange,apple,False,/Users/jongya/Desktop/data/data/archive/stale_orange/Screen Shot 2018-06-12 at 11.37.07 PM.png
170,fresh,fresh,True,strawberry,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_strawberry/naver_0160.jpg
171,fresh,fresh,True,cherryTomato,capsicum,False,/Users/jongya/Desktop/data/data/archive/fresh_cherryTomato/Tre_012.jpg
172,fresh,fresh,True,broccoli,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_broccoli/google_0015.jpg
173,stale,fresh,False,pepper,broccoli,False,/Users/jongya/Desktop/data/data/archive/stale_pepper/google_0010.jpg
174,stale,fresh,False,apple,apple,True,/Users/jongya/Desktop/data/data/archive/stale_apple/Screen Shot 2018-06-08 at 2.31.08 PM.png
175,fresh,fresh,True,broccoli,broccoli,True,/Users/jongya/Desktop/data/data/archive/fresh_broccoli/google_0213.jpg
176,fresh,fresh,True,cherryTomato,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_cherryTomato/Tre_029.jpg
177,fresh,fresh,True,cherryTomato,cherryTomato,True,/Users/jongya/Desktop/data/data/archive/fresh_cherryTomato/naver_0210.jpg
178,fresh,fresh,True,apple,apple,True,/Users/jongya/Desktop/data/data/archive/fresh_apple/Screen Shot 2018-06-08 at 5.02.48 PM.png
179,fresh,fresh,True,broccoli,banana,False,/Users/jongya/Desktop/data/data/archive/fresh_broccoli/google_0023.jpg
180,stale,fresh,False,apple,apple,True,/Users/jongya/Desktop/data/data/archive/stale_apple/Screen Shot 2018-06-08 at 2.28.12 PM.png
181,stale,fresh,False,orange,apple,False,/Users/jongya/Desktop/data/data/archive/stale_orange/Screen Shot 2018-06-12 at 11.21.48 PM.png
182,fresh,fresh,True,capsicum,broccoli,False,/Users/jongya/Desktop/data/data/archive/fresh_capsicum/0033.jpg
183,fresh,fresh,True,capsicum,broccoli,False,/Users/jongya/Desktop/data/data/archive/fresh_capsicum/naver_0267.jpg
184,fresh,fresh,True,strawberry,grape,False,/Users/jongya/Desktop/data/data/archive/fresh_strawberry/naver_0013.jpg
185,fresh,fresh,True,banana,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_banana/naver_0001.jpg
186,fresh,fresh,True,broccoli,broccoli,True,/Users/jongya/Desktop/data/data/archive/fresh_broccoli/google_0112.jpg
187,stale,fresh,False,pepper,broccoli,False,/Users/jongya/Desktop/data/data/archive/stale_pepper/505043_20210809_5_2_b3_1_2_13_1_20210809_5_2_b3_1_2_13_1_267.jpg
188,stale,fresh,False,strawberry,broccoli,False,/Users/jongya/Desktop/data/data/archive/stale_strawberry/google_0099.jpg
189,fresh,fresh,True,pepper,broccoli,False,/Users/jongya/Desktop/data/data/archive/fresh_pepper/google_0009.jpg
190,fresh,fresh,True,orange,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_orange/Screen Shot 2018-06-13 at 12.16.54 AM.png
191,stale,fresh,False,apple,apple,True,/Users/jongya/Desktop/data/data/archive/stale_apple/Screen Shot 2018-06-07 at 3.03.38 PM.png
192,stale,fresh,False,strawberry,broccoli,False,/Users/jongya/Desktop/data/data/archive/stale_strawberry/google_0005.jpg
193,fresh,fresh,True,capsicum,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_capsicum/0454.jpg
194,stale,fresh,False,capsicum,broccoli,False,/Users/jongya/Desktop/data/data/archive/stale_capsicum/IMG_20220601_094043.jpg
195,stale,fresh,False,cherryTomato,capsicum,False,/Users/jongya/Desktop/data/data/archive/stale_cherryTomato/Copy of IMG_20200727_223202.jpg_0_60.jpg
196,fresh,fresh,True,pepper,broccoli,False,/Users/jongya/Desktop/data/data/archive/fresh_pepper/google_0063.jpg
197,fresh,fresh,True,pepper,broccoli,False,/Users/jongya/Desktop/data/data/archive/fresh_pepper/naver_0229.jpg
198,stale,fresh,False,strawberry,apple,False,/Users/jongya/Desktop/data/data/archive/stale_strawberry/google_0056 (2).jpg
199,fresh,fresh,True,capsicum,broccoli,False,/Users/jongya/Desktop/data/data/archive/fresh_capsicum/naver_0023.jpg
200,fresh,fresh,True,grape,banana,False,/Users/jongya/Desktop/data/data/archive/fresh_grape/google_0334.jpg
201,fresh,fresh,True,strawberry,apple,False,/Users/jongya/Desktop/data/data/archive/fresh_strawberry/google_0003.jpg
202,stale,fresh,False,orange,banana,False,/Users/jongya/Desktop/data/data/archive/stale_orange/Screen Shot 2018-06-12 at 11.24.43 PM.png
203,fresh,fresh,True,strawberry,cherryTomato,False,/Users/jongya/Desktop/data/data/archive/fresh_strawberry/naver_0249.jpg
204,stale,fresh,False,grape,banana,False,/Users/jongya/Desktop/data/data/archive/stale_grape/google_0219.jpg
205,stale,fresh,False,cherryTomato,cherryTomato,True,/Users/jongya/Desktop/data/data/archive/stale_cherryTomato/inline_image_preview.jpg
206,stale,fresh,False,mandarin,banana,False,/Users/jongya/Desktop/data/data/archive/stale_mandarin/esy-029989526.jpg
207,stale,fresh,False,orange,apple,False,/Users/jongya/Desktop/data/data/archive/stale_orange/Screen Shot 2018-06-12 at 11.22.21 PM.png
208,fresh,fresh,True,cherryTomato,cherryTomato,True,/Users/jongya/Desktop/data/data/archive/fresh_cherryTomato/naver_0105.jpg
